Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2002,1,1,84,Duke,Winthrop,37,16,Duke
2002,1,2,86,Alabama,Florida Atlantic,78,15,Alabama
2002,1,3,71,Pittsburgh,Central Connecticut St,54,14,Pittsburgh
2002,1,4,89,USC,UNC Wilmington,93,13,UNC Wilmington
2002,1,5,75,Indiana,Utah,56,12,Indiana
2002,1,6,82,California,Pennsylvania,75,11,California
2002,1,7,61,Oklahoma St,Kent St,69,10,Kent St
2002,1,8,82,Notre Dame,Charlotte,63,9,Notre Dame
2002,1,1,90,Cincinnati,Boston University,52,16,Cincinnati
2002,1,2,71,Oklahoma,Illinois Chicago,63,15,Oklahoma
2002,1,3,86,Arizona,Santa Barbara,81,14,Arizona
2002,1,4,69,Ohio St,Davidson,64,13,Ohio St
2002,1,5,80,Miami,Missouri,93,12,Missouri
2002,1,6,66,Gonzaga,Wyoming,73,11,Wyoming
2002,1,7,70,Xavier,Hawaii,58,10,Xavier
2002,1,8,80,UCLA,Ole Miss,58,9,UCLA
2002,1,1,85,Maryland,Siena,70,16,Maryland
2002,1,2,78,Connecticut,Hampton,67,15,Connecticut
2002,1,3,85,Georgia,Murray St,68,14,Georgia
2002,1,4,83,Kentucky,Valparaiso,68,13,Kentucky
2002,1,5,69,Marquette,Tulsa,71,12,Tulsa
2002,1,6,68,Texas Tech,Southern Illinois,76,11,Southern Illinois
2002,1,7,69,NC State,Michigan St,58,10,NC State
2002,1,8,80,Wisconsin,St Johns,70,9,Wisconsin
2002,1,1,70,Kansas,Holy Cross,59,16,Kansas
2002,1,2,81,Oregon,Montana,62,15,Oregon
2002,1,3,70,Mississippi St,McNeese St,58,14,Mississippi St
2002,1,4,93,Illinois,San Diego St,64,13,Illinois
2002,1,5,82,Florida,Creighton,83,12,Creighton
2002,1,6,70,Texas,Boston College,57,11,Texas
2002,1,7,83,Wake Forest,Pepperdine,74,10,Wake Forest
2002,1,8,84,Stanford,Western Kentucky,68,9,Stanford
2002,2,1,84,Duke,Notre Dame,77,8,Duke
2002,2,2,58,Alabama,Kent St,71,10,Kent St
2002,2,3,63,Pittsburgh,California,50,6,Pittsburgh
2002,2,13,67,UNC Wilmington,Indiana,76,5,Indiana
2002,2,1,101,Cincinnati,UCLA,105,8,UCLA
2002,2,2,78,Oklahoma,Xavier,65,7,Oklahoma
2002,2,3,68,Arizona,Wyoming,60,11,Arizona
2002,2,4,67,Ohio St,Missouri,83,12,Missouri
2002,2,1,87,Maryland,Wisconsin,57,8,Maryland
2002,2,2,77,Connecticut,NC State,74,7,Connecticut
2002,2,3,75,Georgia,Southern Illinois,77,11,Southern Illinois
2002,2,4,87,Kentucky,Tulsa,82,12,Kentucky
2002,2,1,86,Kansas,Stanford,63,8,Kansas
2002,2,2,92,Oregon,Wake Forest,87,7,Oregon
2002,2,3,64,Mississippi St,Texas,68,6,Texas
2002,2,4,72,Illinois,Creighton,60,12,Illinois
2002,3,1,73,Duke,Indiana,74,5,Indiana
2002,3,10,78,Kent St,Pittsburgh,73,3,Kent St
2002,3,8,73,UCLA,Missouri,82,12,Missouri
2002,3,2,88,Oklahoma,Arizona,67,3,Oklahoma
2002,3,1,78,Maryland,Kentucky,68,4,Maryland
2002,3,2,71,Connecticut,Southern Illinois,59,11,Connecticut
2002,3,1,73,Kansas,Illinois,69,4,Kansas
2002,3,2,72,Oregon,Texas,70,6,Oregon
2002,4,5,81,Indiana,Kent St,69,10,Indiana
2002,4,12,75,Missouri,Oklahoma,81,2,Oklahoma
2002,4,1,90,Maryland,Connecticut,82,2,Maryland
2002,4,1,104,Kansas,Oregon,86,2,Kansas
2002,5,5,73,Indiana,Oklahoma,64,2,Indiana
