higherseed,lowerseed
Texas A&M Corpus Christ,Texas Southern
Indiana,Wyoming
Bryant,Wright St.
Notre Dame,Rutgers
Colorado St.,Michigan
Providence,South Dakota St.
Boise St.,Memphis
Baylor,Norfolk St.
Tennessee,Longwood
Iowa,Richmond
Gonzaga,Georgia St.
North Carolina,Marquette
Connecticut,New Mexico St.
Kentucky,Saint Peter's
San Diego St.,Creighton
Arkansas,Vermont
Murray St.,San Francisco
UCLA,Akron
Ohio St.,Loyola Chicago
Auburn,Jacksonville St.
Texas Tech,Montana St.
Purdue,Yale
Villanova,Delaware
USC,Miami FL
Texas,Virginia Tech
Illinois,Chattanooga
Duke,Cal St. Fullerton
LSU,Iowa St.
Houston,UAB
Michigan St.,Davidson
Wisconsin,Colgate
Seton Hall,TCU
Alabama,Rutgers
Alabama,Notre Dame
Saint Mary's,Wyoming
Saint Mary's,Indiana
Alabama,Texas Tech
Duke,Davidson
UCLA,Saint Mary's
Purdue,Texas
Houston,Illinois
Tennessee,Michigan
Villanova,Loyola Chicago
Providence,Iowa
Wisconsin,LSU
Auburn,Miami FL
Auburn,USC
